layer,head,pattern_score,total_delta_nll,direct_delta_nll,indirect_delta_nll
6,10,0.484375,-0.009349999949336052,0.0,-0.009349999949336052
6,11,0.9145510196685791,0.0032939999364316463,0.0,0.0032939999364316463
6,12,0.10815399885177612,0.0044200001284480095,0.0,0.0044200001284480095
6,13,0.42651399970054626,-0.00813400000333786,0.0,-0.00813400000333786
6,14,0.35180699825286865,0.0049959998577833176,0.0,0.0049959998577833176
6,15,0.7504879832267761,0.005905000027269125,0.0,0.005905000027269125
6,16,0.17602500319480896,0.002652999944984913,0.0,0.002652999944984913
6,17,0.1392820030450821,0.0005680000176653266,0.0,0.0005680000176653266
6,18,0.23681600391864777,0.0024679999332875013,0.0,0.0024679999332875013
6,19,0.1198119968175888,0.009796000085771084,0.0,0.009796000085771084
7,0,0.1523440033197403,0.003782999934628606,0.0,0.003782999934628606
7,1,0.4851070046424866,0.037064000964164734,0.0,0.037064000964164734
7,2,0.4201659858226776,-0.010873000137507915,0.0,-0.010873000137507915
7,3,0.0989380031824112,-0.00028300000121816993,0.0,-0.00028300000121816993
7,4,0.24206499755382538,0.05013500154018402,0.0,0.05013500154018402
7,5,0.12780800461769104,-0.007176999934017658,0.0,-0.007176999934017658
7,6,0.24804699420928955,-0.014016999863088131,0.0,-0.014016999863088131
7,7,0.2934570014476776,0.005125000141561031,0.0,0.005125000141561031
7,8,0.07379200309515,-0.009902999736368656,0.0,-0.009902999736368656
7,9,0.16833500564098358,0.036848001182079315,0.0,0.036848001182079315
7,10,0.14184600114822388,0.007703999988734722,0.0,0.007703999988734722
7,11,0.38354501128196716,0.008639000356197357,0.0,0.008639000356197357
7,12,0.08142100274562836,0.006134000141173601,0.0,0.006134000141173601
7,13,0.08990500122308731,0.014818999916315079,0.0,0.014818999916315079
7,14,0.1944579929113388,-0.014290000312030315,0.0,-0.014290000312030315
7,15,0.07665999978780746,-0.04809499904513359,0.0,-0.04809499904513359
7,16,0.24890099465847015,0.021097000688314438,0.0,0.021097000688314438
7,17,0.07580599933862686,-0.16522400081157684,0.0,-0.16522400081157684
7,18,0.2260739952325821,-0.007304999977350235,0.0,-0.007304999977350235
7,19,0.23388700187206268,0.009596000425517559,0.0,0.009596000425517559
8,0,0.17419399321079254,0.004000000189989805,0.0,0.004000000189989805
8,1,0.15978999435901642,0.02493399940431118,0.0,0.02493399940431118
8,2,0.11346399784088135,0.004720000084489584,0.0,0.004720000084489584
8,3,0.1462399959564209,0.011970999650657177,0.0,0.011970999650657177
8,4,0.2121579945087433,0.009189000353217125,0.0,0.009189000353217125
8,5,0.11572299897670746,0.036740001291036606,0.0,0.036740001291036606
8,6,0.11816400289535522,0.017338000237941742,0.0,0.017338000237941742
8,7,0.09216299653053284,0.002343999920412898,0.0,0.002343999920412898
8,8,0.10705599933862686,-5.0999999075429514e-05,0.0,-5.0999999075429514e-05
8,9,0.6118159890174866,-0.032930001616477966,0.0,-0.032930001616477966
8,10,0.1232910007238388,0.007703999988734722,0.0,0.007703999988734722
8,11,0.17041000723838806,-0.002524999901652336,0.0,-0.002524999901652336
8,12,0.22631800174713135,0.00916299968957901,0.0,0.00916299968957901
8,13,0.26098600029945374,0.00851999968290329,0.0,0.00851999968290329
8,14,0.1328119933605194,-0.0013160000089555979,0.0,-0.0013160000089555979
8,15,0.14526399970054626,0.01157000008970499,0.0,0.01157000008970499
8,16,0.17602500319480896,0.012275000102818012,0.0,0.012275000102818012
8,17,0.13610799610614777,0.008917000144720078,0.0,0.008917000144720078
8,18,0.14953599870204926,0.04545599967241287,0.0,0.04545599967241287
8,19,0.1289059966802597,-0.020270999521017075,0.0,-0.020270999521017075
9,0,0.09625200182199478,-0.0015369999455288053,0.0,-0.0015369999455288053
9,1,0.07653799653053284,0.0001429999974789098,0.0,0.0001429999974789098
9,2,0.04699699953198433,-0.00015799999528098851,0.0,-0.00015799999528098851
