head_type,model,rank,layer,head,score
successor,mhc_lite,17,7,12,0.09224597364664078
successor,mhc_lite,18,11,7,0.09001842886209488
successor,mhc_lite,19,9,18,0.08645542711019516
successor,mhc_lite,20,5,12,0.08482670783996582
copy_suppression,residual,1,7,11,0.24705982208251953
copy_suppression,residual,2,19,12,0.12048864364624023
copy_suppression,residual,3,5,13,0.10782551765441895
copy_suppression,residual,4,17,3,0.10219788551330566
copy_suppression,residual,5,30,15,0.10179829597473145
copy_suppression,residual,6,7,14,0.10128283500671387
copy_suppression,residual,7,7,1,0.09566354751586914
copy_suppression,residual,8,0,1,0.09526920318603516
copy_suppression,residual,9,24,17,0.09045982360839844
copy_suppression,residual,10,16,12,0.08074736595153809
copy_suppression,residual,11,31,15,0.07479023933410645
copy_suppression,residual,12,23,2,0.07289242744445801
copy_suppression,residual,13,0,3,0.06662964820861816
copy_suppression,residual,14,18,7,0.06343531608581543
copy_suppression,residual,15,15,15,0.060610055923461914
copy_suppression,residual,16,13,7,0.058414459228515625
copy_suppression,residual,17,6,14,0.056308746337890625
copy_suppression,residual,18,21,10,0.05530500411987305
copy_suppression,residual,19,12,9,0.05453777313232422
copy_suppression,residual,20,5,3,0.05426645278930664
copy_suppression,mhc,1,7,17,0.9952976703643799
copy_suppression,mhc,2,6,11,0.4645981788635254
copy_suppression,mhc,3,7,15,0.44501209259033203
copy_suppression,mhc,4,6,13,0.31885766983032227
copy_suppression,mhc,5,11,5,0.31281137466430664
copy_suppression,mhc,6,11,9,0.2739109992980957
copy_suppression,mhc,7,5,18,0.2690138816833496
copy_suppression,mhc,8,8,19,0.26384401321411133
copy_suppression,mhc,9,5,17,0.2475442886352539
copy_suppression,mhc,10,11,11,0.23620939254760742
copy_suppression,mhc,11,8,9,0.21497559547424316
copy_suppression,mhc,12,7,0,0.15482854843139648
copy_suppression,mhc,13,10,13,0.14002370834350586
copy_suppression,mhc,14,6,7,0.1347827911376953
copy_suppression,mhc,15,3,7,0.13238191604614258
copy_suppression,mhc,16,6,10,0.12949228286743164
copy_suppression,mhc,17,6,8,0.12236714363098145
copy_suppression,mhc,18,4,2,0.11797642707824707
copy_suppression,mhc,19,6,2,0.10623550415039062
copy_suppression,mhc,20,1,17,0.0998837947845459
copy_suppression,mhc_lite,1,2,10,0.38875484466552734
copy_suppression,mhc_lite,2,8,4,0.3727378845214844
copy_suppression,mhc_lite,3,8,13,0.2856323719024658
copy_suppression,mhc_lite,4,7,3,0.2839086055755615
copy_suppression,mhc_lite,5,8,19,0.25423431396484375
copy_suppression,mhc_lite,6,7,15,0.21922540664672852
copy_suppression,mhc_lite,7,11,17,0.19541406631469727
copy_suppression,mhc_lite,8,7,18,0.19203495979309082
copy_suppression,mhc_lite,9,7,2,0.18804049491882324
copy_suppression,mhc_lite,10,20,2,0.17568659782409668
