layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
13,8,0.008823,-4.116848,-4.017983,-4.147487,-4.009161,0.030639,0.008823
13,9,-0.025244,-4.116848,-4.017983,-4.445238,-4.043227,0.328390,-0.025244
13,10,-0.053971,-4.116848,-4.017983,-4.159300,-4.071954,0.042452,-0.053971
13,11,-0.001639,-4.116848,-4.017983,-4.121577,-4.019623,0.004729,-0.001639
13,12,0.038880,-4.116848,-4.017983,-4.082554,-3.979103,-0.034294,0.038880
13,13,-0.004889,-4.116848,-4.017983,-4.186214,-4.022872,0.069366,-0.004889
13,14,-0.005588,-4.116848,-4.017983,-4.111719,-4.023571,-0.005129,-0.005588
13,15,-0.003002,-4.116848,-4.017983,-4.110295,-4.020985,-0.006553,-0.003002
13,16,0.033527,-4.116848,-4.017983,-4.118683,-3.984457,0.001835,0.033527
13,17,-0.010991,-4.116848,-4.017983,-4.113908,-4.028974,-0.002940,-0.010991
13,18,0.012490,-4.116848,-4.017983,-4.114249,-4.005493,-0.002599,0.012490
13,19,0.008777,-4.116848,-4.017983,-4.107937,-4.009207,-0.008911,0.008777
14,0,0.012605,-4.116848,-4.017983,-4.117277,-4.005379,0.000429,0.012605
14,1,0.004989,-4.116848,-4.017983,-4.113488,-4.012995,-0.003360,0.004989
14,2,0.001611,-4.116848,-4.017983,-4.117476,-4.016372,0.000628,0.001611
14,3,-0.001666,-4.116848,-4.017983,-4.109262,-4.019650,-0.007586,-0.001666
14,4,-0.001579,-4.116848,-4.017983,-4.122348,-4.019563,0.005500,-0.001579
14,5,-0.002080,-4.116848,-4.017983,-4.113428,-4.020064,-0.003420,-0.002080
14,6,-0.008471,-4.116848,-4.017983,-4.122758,-4.026455,0.005910,-0.008471
14,7,0.013884,-4.116848,-4.017983,-4.121077,-4.004100,0.004229,0.013884
14,8,-0.002837,-4.116848,-4.017983,-4.119300,-4.020820,0.002452,-0.002837
14,9,0.012346,-4.116848,-4.017983,-4.130834,-4.005637,0.013986,0.012346
14,10,-0.001221,-4.116848,-4.017983,-4.113470,-4.019205,-0.003378,-0.001221
14,11,0.019001,-4.116848,-4.017983,-4.100242,-3.998982,-0.016606,0.019001
14,12,0.003331,-4.116848,-4.017983,-4.113619,-4.014652,-0.003229,0.003331
14,13,-0.010422,-4.116848,-4.017983,-4.128827,-4.028405,0.011979,-0.010422
14,14,0.009334,-4.116848,-4.017983,-4.114674,-4.008649,-0.002174,0.009334
14,15,-0.003188,-4.116848,-4.017983,-4.126867,-4.021172,0.010019,-0.003188
14,16,-0.003372,-4.116848,-4.017983,-4.107496,-4.021356,-0.009352,-0.003372
14,17,0.002814,-4.116848,-4.017983,-4.119069,-4.015169,0.002221,0.002814
14,18,0.001776,-4.116848,-4.017983,-4.126033,-4.016208,0.009185,0.001776
14,19,-0.001255,-4.116848,-4.017983,-4.111804,-4.019238,-0.005044,-0.001255
15,0,-0.030137,-4.116848,-4.017983,-4.133496,-4.048120,0.016648,-0.030137
15,1,0.002956,-4.116848,-4.017983,-4.120525,-4.015027,0.003677,0.002956
15,2,0.000326,-4.116848,-4.017983,-4.115400,-4.017658,-0.001448,0.000326
15,3,-0.002029,-4.116848,-4.017983,-4.117662,-4.020013,0.000814,-0.002029
15,4,-0.009993,-4.116848,-4.017983,-4.123304,-4.027976,0.006456,-0.009993
15,5,0.004096,-4.116848,-4.017983,-4.121614,-4.013888,0.004766,0.004096
