layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
16,1,0.138794,0.138794,3.857038,3.855445,-0.001593,0.510431,0.191933,0.191933
16,2,0.102539,0.102539,3.857038,3.858091,0.001053,0.239221,0.746871,0.239221
16,3,0.128174,0.128174,3.857038,3.856666,-0.000373,0.413074,0.304590,0.304590
16,4,0.118774,0.118774,3.857038,3.857909,0.000870,0.350487,0.734353,0.350487
16,5,0.077271,0.077271,3.857038,3.857182,0.000144,0.101530,0.609179,0.101530
16,6,0.089172,0.089172,3.857038,3.857213,0.000175,0.162726,0.620306,0.162726
16,7,0.125854,0.125854,3.857038,3.856112,-0.000926,0.393602,0.233658,0.233658
16,8,0.122620,0.122620,3.857038,3.856544,-0.000494,0.376912,0.282337,0.282337
16,9,0.156738,0.156738,3.857038,3.858752,0.001713,0.648122,0.785814,0.648122
16,10,0.159302,0.159302,3.857038,3.857520,0.000481,0.666203,0.682893,0.666203
16,11,0.091309,0.091309,3.857038,3.858031,0.000993,0.173853,0.745480,0.173853
16,12,0.131958,0.131958,3.857038,3.857373,0.000334,0.456189,0.666203,0.456189
16,13,0.089294,0.089294,3.857038,3.856946,-0.000092,0.164117,0.400556,0.164117
16,14,0.111877,0.111877,3.857038,3.855014,-0.002025,0.310153,0.173853,0.173853
16,15,0.172729,0.172729,3.857038,3.857072,0.000033,0.738526,0.532684,0.532684
16,16,0.110107,0.110107,3.857038,3.855352,-0.001686,0.300417,0.186370,0.186370
16,17,0.111145,0.111145,3.857038,3.904582,0.047544,0.308762,0.991655,0.308762
16,18,0.138062,0.138062,3.857038,3.855153,-0.001886,0.504868,0.178025,0.178025
16,19,0.128540,0.128540,3.857038,3.857252,0.000213,0.417246,0.628651,0.417246
17,0,0.134888,0.134888,3.857038,3.856475,-0.000564,0.482615,0.272601,0.272601
17,1,0.105469,0.105469,3.857038,3.859263,0.002225,0.262865,0.810848,0.262865
17,2,0.126099,0.126099,3.857038,3.859818,0.002779,0.396384,0.835883,0.396384
17,3,0.170532,0.170532,3.857038,3.856462,-0.000577,0.730181,0.269819,0.269819
17,4,0.101990,0.101990,3.857038,3.856358,-0.000681,0.233658,0.260083,0.233658
17,5,0.151245,0.151245,3.857038,3.855359,-0.001679,0.606398,0.189152,0.189152
17,6,0.103394,0.103394,3.857038,3.861195,0.004156,0.251739,0.870654,0.251739
17,7,0.125854,0.125854,3.857038,3.856553,-0.000486,0.394993,0.283727,0.283727
17,8,0.109192,0.109192,3.857038,3.857142,0.000103,0.294854,0.588317,0.294854
17,9,0.114014,0.114014,3.857038,3.856842,-0.000197,0.321280,0.353268,0.321280
17,10,0.122070,0.122070,3.857038,3.856085,-0.000954,0.374131,0.228095,0.228095
17,11,0.154907,0.154907,3.857038,3.857169,0.000131,0.638387,0.600834,0.600834
17,12,0.155518,0.155518,3.857038,3.857115,0.000077,0.642559,0.570236,0.570236
17,13,0.095398,0.095398,3.857038,3.857038,-0.000001,0.194715,0.493741,0.194715
17,14,0.124146,0.124146,3.857038,3.854836,-0.002203,0.385257,0.162726,0.162726
17,15,0.108337,0.108337,3.857038,3.857661,0.000623,0.289291,0.707928,0.289291
17,16,0.186401,0.186401,3.857038,3.856154,-0.000885,0.783032,0.235049,0.235049
17,17,0.141357,0.141357,3.857038,3.859334,0.002295,0.528512,0.812239,0.528512
17,18,0.191406,0.191406,3.857038,3.856666,-0.000372,0.806676,0.305981,0.305981
17,19,0.135010,0.135010,3.857038,3.857666,0.000627,0.484006,0.709319,0.484006
18,0,0.096069,0.096069,3.857038,3.858295,0.001256,0.198887,0.759388,0.198887
18,1,0.169189,0.169189,3.857038,3.857096,0.000058,0.719054,0.560501,0.560501
18,2,0.119873,0.119873,3.857038,3.857295,0.000257,0.354659,0.638387,0.354659
18,3,0.160522,0.160522,3.857038,3.858469,0.001431,0.678720,0.774687,0.678720
18,4,0.109375,0.109375,3.857038,3.888917,0.031879,0.296245,0.980529,0.296245
18,5,0.200684,0.200684,3.857038,3.857539,0.000501,0.837274,0.688456,0.688456
18,6,0.159668,0.159668,3.857038,3.857666,0.000628,0.668985,0.710709,0.668985
18,7,0.098022,0.098022,3.857038,3.857255,0.000216,0.211405,0.631433,0.211405
18,8,0.126587,0.126587,3.857038,3.857175,0.000137,0.399166,0.605007,0.399166
18,9,0.175659,0.175659,3.857038,3.857893,0.000854,0.753825,0.730181,0.730181
18,10,0.206909,0.206909,3.857038,3.858147,0.001109,0.845619,0.753825,0.753825
18,11,0.094910,0.094910,3.857038,3.858531,0.001492,0.193324,0.776078,0.193324
18,12,0.194580,0.194580,3.857038,3.857180,0.000142,0.819193,0.607789,0.607789
18,13,0.106079,0.106079,3.857038,3.862090,0.005051,0.272601,0.888734,0.272601
