layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
6,3,0.000048,0.000048,0.860877,0.871007,0.010130,0.054242,0.831711,0.054242
6,4,0.000318,0.000318,0.860877,0.886259,0.025382,0.089013,0.888734,0.089013
6,5,0.000090,0.000090,0.860877,0.887728,0.026851,0.065369,0.899861,0.065369
6,6,0.000216,0.000216,0.860877,0.863467,0.002590,0.080668,0.738526,0.080668
6,7,0.000069,0.000069,0.860877,0.880130,0.019253,0.061196,0.880389,0.061196
6,8,0.000449,0.000449,0.860877,0.866257,0.005380,0.095967,0.794159,0.095967
6,9,0.000135,0.000135,0.860877,0.913080,0.052203,0.068150,0.942976,0.068150
6,10,0.000036,0.000036,0.860877,0.802046,-0.058831,0.051460,0.011127,0.011127
6,11,0.000000,0.000000,0.860877,2.463054,1.602177,0.006954,0.998609,0.006954
6,12,0.004707,0.004707,0.860877,0.953879,0.093002,0.183588,0.968011,0.183588
6,13,0.000009,0.000009,0.860877,0.886921,0.026044,0.033380,0.892907,0.033380
6,14,0.000266,0.000266,0.860877,0.890188,0.029311,0.084840,0.906815,0.084840
6,15,0.000021,0.000021,0.860877,0.905094,0.044217,0.044506,0.931850,0.044506
6,16,0.007843,0.007843,0.860877,0.859115,-0.001762,0.215577,0.157163,0.157163
6,17,0.005180,0.005180,0.860877,0.858166,-0.002711,0.187761,0.140473,0.140473
6,18,0.000426,0.000426,0.860877,0.844464,-0.016413,0.094576,0.059805,0.059805
6,19,0.000740,0.000740,0.860877,0.881489,0.020612,0.122392,0.883171,0.122392
7,0,0.012749,0.012749,0.860877,0.840485,-0.020392,0.257302,0.047288,0.047288
7,1,0.002796,0.002796,0.860877,0.853649,-0.007228,0.159944,0.098748,0.098748
7,2,0.018936,0.018936,0.860877,0.896439,0.035562,0.315716,0.920723,0.315716
7,3,0.853516,0.853516,0.860877,1.726467,0.865591,0.997218,0.995828,0.995828
7,4,0.005474,0.005474,0.860877,0.875664,0.014787,0.190542,0.859527,0.190542
7,5,0.030670,0.030670,0.860877,0.898953,0.038076,0.511822,0.922114,0.511822
7,6,0.011353,0.011353,0.860877,0.873275,0.012398,0.248957,0.841446,0.248957
7,7,0.010696,0.010696,0.860877,0.888361,0.027485,0.244784,0.902643,0.244784
7,8,0.859863,0.859863,0.860877,0.983708,0.122831,0.998609,0.980529,0.980529
7,9,0.115417,0.115417,0.860877,0.855317,-0.005560,0.948540,0.107093,0.107093
7,10,0.024719,0.024719,0.860877,0.840568,-0.020309,0.415855,0.048679,0.048679
7,11,0.016510,0.016510,0.860877,0.886032,0.025155,0.286509,0.887344,0.286509
7,12,0.066833,0.066833,0.860877,0.744268,-0.116609,0.884562,0.001391,0.001391
7,13,0.024704,0.024704,0.860877,0.874650,0.013773,0.414465,0.851182,0.414465
7,14,0.357910,0.357910,0.860877,0.894195,0.033318,0.972184,0.917942,0.917942
7,15,0.617188,0.617188,0.860877,1.804523,0.943646,0.983310,0.997218,0.983310
7,16,0.017593,0.017593,0.860877,0.870076,0.009200,0.297636,0.824757,0.297636
7,17,0.920410,0.920410,0.860877,3.409905,2.549028,1.000000,1.000000,1.000000
7,18,0.031006,0.031006,0.860877,0.825148,-0.035729,0.514604,0.027816,0.027816
7,19,0.369141,0.369141,0.860877,0.825592,-0.035285,0.974965,0.029207,0.029207
8,0,0.031586,0.031586,0.860877,0.892623,0.031746,0.521558,0.915160,0.521558
